product_name,quantity_sold,sale_date
Laptop Pro 15,5,2024-01-02
Wireless Mouse,20,2024-01-02
Mechanical Keyboard,12,2024-01-02
USB-C Hub,15,2024-01-02
Headphones Pro,8,2024-01-02
Laptop Pro 15,3,2024-01-05
Wireless Mouse,18,2024-01-05
Smartphone X12,6,2024-01-05
Tablet 10inch,4,2024-01-05
Bluetooth Speaker,10,2024-01-05
Office Chair,3,2024-01-08
Standing Desk,2,2024-01-08
Desk Lamp,12,2024-01-08
Printer A4,5,2024-01-08
A4 Paper Ream,40,2024-01-08
Laptop Pro 15,7,2024-01-10
Wireless Mouse,25,2024-01-10
Mechanical Keyboard,10,2024-01-10
USB-C Hub,18,2024-01-10
Monitor 27inch,4,2024-01-10
Running Shoes,15,2024-01-12
Yoga Mat,20,2024-01-12
Water Bottle,35,2024-01-12
Resistance Bands,18,2024-01-12
Dumbbells Set,8,2024-01-12
Coffee Maker,6,2024-01-15
Blender Pro,4,2024-01-15
Electric Kettle,12,2024-01-15
Air Fryer,3,2024-01-15
Microwave Oven,2,2024-01-15
Laptop Pro 15,4,2024-01-18
Wireless Mouse,22,2024-01-18
Headphones Pro,9,2024-01-18
Webcam HD,11,2024-01-18
Bluetooth Speaker,14,2024-01-18
A4 Paper Ream,50,2024-01-20
Ballpoint Pens Box,30,2024-01-20
Stapler Heavy Duty,8,2024-01-20
Whiteboard Large,3,2024-01-20
Filing Cabinet,2,2024-01-20
Laptop Pro 15,6,2024-01-22
Smartphone X12,8,2024-01-22
Tablet 10inch,5,2024-01-22
USB-C Hub,20,2024-01-22
Monitor 27inch,3,2024-01-22
Running Shoes,18,2024-01-25
Yoga Mat,22,2024-01-25
Water Bottle,40,2024-01-25
Dumbbells Set,10,2024-01-25
Resistance Bands,20,2024-01-25
Wireless Mouse,30,2024-02-01
Mechanical Keyboard,15,2024-02-01
Laptop Pro 15,8,2024-02-01
USB-C Hub,22,2024-02-01
Headphones Pro,12,2024-02-01
Office Chair,4,2024-02-03
Desk Lamp,15,2024-02-03
Bookshelf,5,2024-02-03
Standing Desk,2,2024-02-03
Filing Cabinet,3,2024-02-03
Coffee Maker,7,2024-02-05
Electric Kettle,14,2024-02-05
Blender Pro,5,2024-02-05
Air Fryer,4,2024-02-05
Microwave Oven,3,2024-02-05
Laptop Pro 15,10,2024-02-08
Wireless Mouse,28,2024-02-08
Smartphone X12,7,2024-02-08
Webcam HD,13,2024-02-08
Bluetooth Speaker,16,2024-02-08
A4 Paper Ream,60,2024-02-10
Ballpoint Pens Box,35,2024-02-10
Printer A4,6,2024-02-10
Stapler Heavy Duty,10,2024-02-10
Whiteboard Large,4,2024-02-10
Running Shoes,20,2024-02-12
Yoga Mat,25,2024-02-12
Water Bottle,45,2024-02-12
Resistance Bands,22,2024-02-12
Dumbbells Set,12,2024-02-12
Laptop Pro 15,50,2024-02-14
Wireless Mouse,35,2024-02-14
Mechanical Keyboard,18,2024-02-14
USB-C Hub,25,2024-02-14
Monitor 27inch,6,2024-02-14
Headphones Pro,15,2024-02-18
Bluetooth Speaker,20,2024-02-18
Webcam HD,14,2024-02-18
Smartphone X12,9,2024-02-18
Tablet 10inch,7,2024-02-18
Office Chair,5,2024-02-20
Standing Desk,3,2024-02-20
Desk Lamp,18,2024-02-20
Bookshelf,6,2024-02-20
Filing Cabinet,4,2024-02-20
Laptop Pro 15,9,2024-03-01
Wireless Mouse,32,2024-03-01
Mechanical Keyboard,16,2024-03-01
USB-C Hub,28,2024-03-01
Headphones Pro,13,2024-03-01
Running Shoes,22,2024-03-05
Yoga Mat,28,2024-03-05
Water Bottle,50,2024-03-05
Dumbbells Set,14,2024-03-05
Resistance Bands,25,2024-03-05
Coffee Maker,8,2024-03-08
Electric Kettle,16,2024-03-08
Blender Pro,6,2024-03-08
Air Fryer,5,2024-03-08
Microwave Oven,4,2024-03-08
Laptop Pro 15,11,2024-03-12
Smartphone X12,10,2024-03-12
Tablet 10inch,8,2024-03-12
Monitor 27inch,5,2024-03-12
Webcam HD,15,2024-03-12
A4 Paper Ream,70,2024-03-15
Ballpoint Pens Box,40,2024-03-15
Printer A4,7,2024-03-15
Stapler Heavy Duty,12,2024-03-15
Whiteboard Large,5,2024-03-15
Wireless Mouse,40,2024-03-18
Mechanical Keyboard,20,2024-03-18
USB-C Hub,30,2024-03-18
Bluetooth Speaker,22,2024-03-18
Headphones Pro,16,2024-03-18
Laptop Pro 15,2,2024-03-20
Office Chair,6,2024-03-20
Standing Desk,4,2024-03-20
Desk Lamp,20,2024-03-20
Bookshelf,7,2024-03-20
Running Shoes,25,2024-03-25
Yoga Mat,30,2024-03-25
Water Bottle,55,2024-03-25
Resistance Bands,28,2024-03-25
Dumbbells Set,16,2024-03-25
Laptop Pro 15,12,2024-04-01
Wireless Mouse,38,2024-04-01
Mechanical Keyboard,22,2024-04-01
USB-C Hub,32,2024-04-01
Monitor 27inch,7,2024-04-01
Coffee Maker,9,2024-04-05
Electric Kettle,18,2024-04-05
Blender Pro,7,2024-04-05
Air Fryer,6,2024-04-05
Microwave Oven,5,2024-04-05
Smartphone X12,11,2024-04-08
Tablet 10inch,9,2024-04-08
Webcam HD,16,2024-04-08
Bluetooth Speaker,24,2024-04-08
Headphones Pro,18,2024-04-08
A4 Paper Ream,80,2024-04-10
Ballpoint Pens Box,45,2024-04-10
Printer A4,8,2024-04-10
Stapler Heavy Duty,14,2024-04-10
Whiteboard Large,6,2024-04-10
Laptop Pro 15,100,2024-04-15
Wireless Mouse,42,2024-04-15
Mechanical Keyboard,24,2024-04-15
USB-C Hub,35,2024-04-15
Headphones Pro,20,2024-04-15
Running Shoes,28,2024-04-18
Yoga Mat,32,2024-04-18
Water Bottle,60,2024-04-18
Dumbbells Set,18,2024-04-18
Resistance Bands,30,2024-04-18
Office Chair,7,2024-04-22
Standing Desk,5,2024-04-22
Desk Lamp,22,2024-04-22
Bookshelf,8,2024-04-22
Filing Cabinet,5,2024-04-22
